g,s,lat,lon
urn:gleaner.io:eco:earthchem:data:38864d7d576b520919531e224177673496daa9f9,https://gleaner.io/xid/genid/daj5t9gjo11s73e3aeog,38.91413,-75.30455
urn:gleaner.io:eco:earthchem:data:38864d7d576b520919531e224177673496daa9f9,https://gleaner.io/xid/genid/daj5t9gjo11s73e3aehg,38.39613,-75.06008
urn:gleaner.io:eco:earthchem:data:38864d7d576b520919531e224177673496daa9f9,https://gleaner.io/xid/genid/daj5t9gjo11s73e3aei0,38.39637,-75.06
urn:gleaner.io:eco:earthchem:data:38864d7d576b520919531e224177673496daa9f9,https://gleaner.io/xid/genid/daj5t9gjo11s73e3aeig,38.54028,-75.05328
urn:gleaner.io:eco:earthchem:data:38864d7d576b520919531e224177673496daa9f9,https://gleaner.io/xid/genid/daj5t9gjo11s73e3aej0,38.54052,-75.05333
urn:gleaner.io:eco:earthchem:data:38864d7d576b520919531e224177673496daa9f9,https://gleaner.io/xid/genid/daj5t9gjo11s73e3aejg,38.54082,-75.05338
urn:gleaner.io:eco:earthchem:data:38864d7d576b520919531e224177673496daa9f9,https://gleaner.io/xid/genid/daj5t9gjo11s73e3aek0,38.54102,-75.0534
urn:gleaner.io:eco:earthchem:data:38864d7d576b520919531e224177673496daa9f9,https://gleaner.io/xid/genid/daj5t9gjo11s73e3aekg,38.54127,-75.05347
urn:gleaner.io:eco:earthchem:data:38864d7d576b520919531e224177673496daa9f9,https://gleaner.io/xid/genid/daj5t9gjo11s73e3ael0,38.54587,-75.06013
urn:gleaner.io:eco:earthchem:data:38864d7d576b520919531e224177673496daa9f9,https://gleaner.io/xid/genid/daj5t9gjo11s73e3aelg,38.67727,-75.0687
urn:gleaner.io:eco:earthchem:data:38864d7d576b520919531e224177673496daa9f9,https://gleaner.io/xid/genid/daj5t9gjo11s73e3aem0,38.67753,-75.06872
urn:gleaner.io:eco:earthchem:data:38864d7d576b520919531e224177673496daa9f9,https://gleaner.io/xid/genid/daj5t9gjo11s73e3aemg,38.67777,-75.06877
urn:gleaner.io:eco:earthchem:data:38864d7d576b520919531e224177673496daa9f9,https://gleaner.io/xid/genid/daj5t9gjo11s73e3aen0,38.67805,-75.06885
urn:gleaner.io:eco:earthchem:data:38864d7d576b520919531e224177673496daa9f9,https://gleaner.io/xid/genid/daj5t9gjo11s73e3aeng,38.67829,-75.0689
urn:gleaner.io:eco:earthchem:data:38864d7d576b520919531e224177673496daa9f9,https://gleaner.io/xid/genid/daj5t9gjo11s73e3aeo0,38.91388,-75.30437
urn:gleaner.io:eco:earthchem:data:38864d7d576b520919531e224177673496daa9f9,https://gleaner.io/xid/genid/daj5t9gjo11s73e3afvg,42.0536,-70.0806
urn:gleaner.io:eco:earthchem:data:38864d7d576b520919531e224177673496daa9f9,https://gleaner.io/xid/genid/daj5t9gjo11s73e3afng,41.65188,-70.13495
urn:gleaner.io:eco:earthchem:data:38864d7d576b520919531e224177673496daa9f9,https://gleaner.io/xid/genid/daj5t9gjo11s73e3afog,41.6678,-70.03795
urn:gleaner.io:eco:earthchem:data:38864d7d576b520919531e224177673496daa9f9,https://gleaner.io/xid/genid/daj5t9gjo11s73e3afp0,41.79967,-69.97173
urn:gleaner.io:eco:earthchem:data:38864d7d576b520919531e224177673496daa9f9,https://gleaner.io/xid/genid/daj5t9gjo11s73e3afpg,41.83507,-69.9735
urn:gleaner.io:eco:earthchem:data:38864d7d576b520919531e224177673496daa9f9,https://gleaner.io/xid/genid/daj5t9gjo11s73e3afq0,41.85552,-69.95028
urn:gleaner.io:eco:earthchem:data:38864d7d576b520919531e224177673496daa9f9,https://gleaner.io/xid/genid/daj5t9gjo11s73e3afqg,41.85585,-69.95042
urn:gleaner.io:eco:earthchem:data:38864d7d576b520919531e224177673496daa9f9,https://gleaner.io/xid/genid/daj5t9gjo11s73e3afr0,41.85623,-69.9505
urn:gleaner.io:eco:earthchem:data:38864d7d576b520919531e224177673496daa9f9,https://gleaner.io/xid/genid/daj5t9gjo11s73e3afrg,41.85653,-69.95062
urn:gleaner.io:eco:earthchem:data:38864d7d576b520919531e224177673496daa9f9,https://gleaner.io/xid/genid/daj5t9gjo11s73e3afs0,41.85688,-69.9507
